user,trip,overspeed
0WVbkZqJA0gKSdTFxvTHBoLIov02,1601354793707 ,3
0WVbkZqJA0gKSdTFxvTHBoLIov02,1601400170632 ,80
0WVbkZqJA0gKSdTFxvTHBoLIov02,1601776398656 ,11
0WVbkZqJA0gKSdTFxvTHBoLIov02,1601800662813 ,14
0WVbkZqJA0gKSdTFxvTHBoLIov02,1601856409928 ,15
0WVbkZqJA0gKSdTFxvTHBoLIov02,1601903697531 ,6
0WVbkZqJA0gKSdTFxvTHBoLIov02,1601906750698 ,18
0WVbkZqJA0gKSdTFxvTHBoLIov02,1601942752257 ,17
0WVbkZqJA0gKSdTFxvTHBoLIov02,1601984276728 ,8
0WVbkZqJA0gKSdTFxvTHBoLIov02,1602029349938 ,9
0WVbkZqJA0gKSdTFxvTHBoLIov02,1602081904203 ,24
0WVbkZqJA0gKSdTFxvTHBoLIov02,1602116032773 ,18
0WVbkZqJA0gKSdTFxvTHBoLIov02,1602206754550 ,141
0WVbkZqJA0gKSdTFxvTHBoLIov02,1602363211861 ,52
0WVbkZqJA0gKSdTFxvTHBoLIov02,1602388139670 ,125
0cyPnU2ybzX4TzKCGb6M8VMa1Jy2,1599039573813 ,8
0cyPnU2ybzX4TzKCGb6M8VMa1Jy2,1599088755886 ,8
0cyPnU2ybzX4TzKCGb6M8VMa1Jy2,1599129779894 ,6
0cyPnU2ybzX4TzKCGb6M8VMa1Jy2,1599214842296 ,6
0cyPnU2ybzX4TzKCGb6M8VMa1Jy2,1599220248295 ,3
0cyPnU2ybzX4TzKCGb6M8VMa1Jy2,1599433300578 ,10
0cyPnU2ybzX4TzKCGb6M8VMa1Jy2,1599474216706 ,8
0cyPnU2ybzX4TzKCGb6M8VMa1Jy2,1599520418434 ,11
0cyPnU2ybzX4TzKCGb6M8VMa1Jy2,1599562597398 ,12
0cyPnU2ybzX4TzKCGb6M8VMa1Jy2,1599698981657 ,4
0cyPnU2ybzX4TzKCGb6M8VMa1Jy2,1599701901080 ,125
0cyPnU2ybzX4TzKCGb6M8VMa1Jy2,1599717387372 ,11
0cyPnU2ybzX4TzKCGb6M8VMa1Jy2,1599721179635 ,111
0cyPnU2ybzX4TzKCGb6M8VMa1Jy2,1599779378581 ,10
0cyPnU2ybzX4TzKCGb6M8VMa1Jy2,1599788645893 ,19
0cyPnU2ybzX4TzKCGb6M8VMa1Jy2,1599998126703 ,11
0cyPnU2ybzX4TzKCGb6M8VMa1Jy2,1600020312036 ,15
0cyPnU2ybzX4TzKCGb6M8VMa1Jy2,1600038447720 ,19
0cyPnU2ybzX4TzKCGb6M8VMa1Jy2,1600050978917 ,8
0cyPnU2ybzX4TzKCGb6M8VMa1Jy2,1600054505916 ,0
0cyPnU2ybzX4TzKCGb6M8VMa1Jy2,1600056053756 ,2
0cyPnU2ybzX4TzKCGb6M8VMa1Jy2,1600076468360 ,8
0cyPnU2ybzX4TzKCGb6M8VMa1Jy2,1600212339293 ,9
0cyPnU2ybzX4TzKCGb6M8VMa1Jy2,1600222680082 ,0
0cyPnU2ybzX4TzKCGb6M8VMa1Jy2,1600248035126 ,8
0cyPnU2ybzX4TzKCGb6M8VMa1Jy2,1600296760715 ,9
0cyPnU2ybzX4TzKCGb6M8VMa1Jy2,1600334693824 ,7
0cyPnU2ybzX4TzKCGb6M8VMa1Jy2,1600383243134 ,11
0cyPnU2ybzX4TzKCGb6M8VMa1Jy2,1600396507417 ,8
0cyPnU2ybzX4TzKCGb6M8VMa1Jy2,1600400956618 ,8
0cyPnU2ybzX4TzKCGb6M8VMa1Jy2,1600425468747 ,6
0cyPnU2ybzX4TzKCGb6M8VMa1Jy2,1600584689622 ,23
0cyPnU2ybzX4TzKCGb6M8VMa1Jy2,1600592316129 ,17
0cyPnU2ybzX4TzKCGb6M8VMa1Jy2,1600642963848 ,16
0cyPnU2ybzX4TzKCGb6M8VMa1Jy2,1600656643676 ,2
