overspeed,accel,decel,stop,start,cluster,score
20,957,622,0,47,50,57
6,720,196,0,65,58,85
44,488,488,81,81,41,84
89,636,347,57,173,5,73
170,600,75,150,150,84,75
100,182,121,0,60,35,97
40,511,191,63,127,20,86
59,317,238,79,158,25,87
13,1520,661,66,132,56,36
1054,170,113,0,18,65,74
2710,142,158,15,47,11,27
3,581,242,48,96,20,86
38,632,126,253,126,20,86
7,368,98,73,319,45,94
151,376,62,62,125,7,88
56,1536,73,73,219,63,53
536,268,345,38,76,28,71
212,262,174,174,87,25,87
34,574,402,114,516,96,55
8,874,491,54,0,36,69
695,183,235,26,26,17,80
53,202,162,40,40,35,97
335,68,68,0,45,90,95
68,410,164,0,82,25,87
121,650,325,0,0,20,86
27,110,0,55,55,0,99
37,509,582,145,364,83,66
142,471,67,0,0,7,88
3,344,0,68,137,43,96
58,1118,484,111,260,50,57
40,443,221,63,95,20,86
117,325,243,162,0,25,87
23,1121,420,0,140,50,57
18,1065,327,163,0,50,57
99,881,370,0,139,36,69
177,802,286,57,229,94,62
8,161,161,0,53,35,97
0,425,189,0,141,25,87
0,893,268,0,89,36,69
44,221,0,55,110,0,99
43,85,85,170,0,0,99
17,451,376,150,300,5,73
162,691,345,86,345,5,73
0,163,163,0,0,35,97
33,239,0,59,0,0,99
18,357,102,102,153,25,87
309,436,163,0,54,67,83
682,527,362,65,98,42,67
66,353,272,0,27,25,87
24,856,448,40,285,96,55
168,161,161,64,128,35,97
717,296,169,21,21,4,76
1060,212,88,0,17,65,74
8,609,304,33,236,5,73
14,280,210,70,70,25,87
97,608,465,35,358,5,73
50,782,558,55,223,36,69
116,322,322,0,0,25,87
27,250,125,62,62,43,96
1608,174,145,19,58,54,54
3,165,276,110,331,62,77
6,245,245,0,0,35,97
2,787,349,349,87,36,69
0,285,95,0,285,45,94
31,569,325,0,81,20,86
143,696,535,0,107,36,69
91,352,588,0,352,83,66
31,488,162,162,325,16,82
50,506,276,0,138,20,86
92,361,155,103,206,25,87
6,284,0,0,94,43,96
36,489,81,0,0,59,92
32,625,234,156,234,5,73
12,975,574,114,401,96,55
294,80,402,80,80,60,89
75,164,329,0,82,35,97
25,930,523,174,698,97,41
102,649,243,81,405,5,73
1244,46,218,0,46,77,64
786,195,174,65,108,4,76
380,288,252,36,108,67,83
52,403,80,0,0,43,96
8,1316,279,79,478,22,48
30,80,401,80,0,35,97
40,311,435,0,124,41,84
19,281,211,0,70,25,87
88,244,0,0,0,0,99
35,354,354,0,88,41,84
15,231,92,46,139,43,96
51,62,313,62,125,35,97
108,173,346,0,115,35,97
1,242,80,0,0,0,99
1,572,686,0,114,83,66
127,217,326,54,163,41,84
163,1246,650,54,108,44,46
161,136,68,34,102,19,98
38,71,143,71,71,35,97
179,367,0,0,0,7,88
178,391,322,23,69,41,84
10,1016,600,184,323,50,57
62,507,797,0,72,83,66
4,493,197,0,98,20,86
2,239,79,0,79,43,96
29,519,599,79,199,83,66
21,1104,441,44,265,50,57
78,866,358,59,239,36,69
202,780,260,97,195,94,62
927,156,93,15,15,24,81
1158,95,126,15,47,65,74
6,525,175,87,350,16,82
2,425,0,85,255,45,94
18,1497,641,213,499,85,33
29,446,223,0,0,20,86
186,1481,814,370,888,14,21
157,2451,632,395,474,69,12
86,1267,447,74,895,33,38
160,413,326,65,108,41,84
675,413,243,66,147,42,67
76,1494,498,124,498,85,33
241,2243,796,144,723,52,19
154,2055,948,158,553,52,19
190,2119,652,244,489,52,19
172,2014,1566,149,596,39,13
127,1995,591,147,812,12,14
501,1460,497,99,464,49,29
105,1540,440,0,366,3,47
127,2183,704,281,774,12,14
202,1493,522,74,448,56,36
137,1592,1137,227,455,89,22
570,1684,426,101,304,49,29
14,2572,257,171,1028,69,12
284,1109,380,158,523,22,48
139,2494,953,293,953,6,9
213,3067,807,161,322,53,7
130,1943,897,149,598,52,19
134,2065,535,153,841,12,14
121,1775,739,295,665,37,30
189,1125,600,300,750,86,40
126,1183,295,221,443,22,48
113,2415,701,311,701,69,12
146,1686,1320,0,440,89,22
91,2203,1022,236,865,6,9
221,782,506,92,414,96,55
188,995,205,63,205,10,70
296,1078,441,49,441,95,50
116,1990,368,73,884,76,26
89,1262,491,0,771,85,33
80,1684,878,73,1098,14,21
105,1742,871,316,475,89,22
124,2664,666,148,370,68,18
30,2182,969,161,565,52,19
123,1775,739,221,961,12,14
110,1873,1049,224,449,89,22
119,1182,886,295,591,31,32
99,619,381,0,571,96,55
13,802,534,89,178,36,69
613,827,388,103,310,21,65
118,2267,625,156,1172,12,14
193,1184,868,236,552,31,32
376,1955,1564,312,625,39,13
111,1912,514,0,367,78,37
56,2299,890,148,667,52,19
448,1769,919,141,636,82,15
93,3040,1260,148,667,13,6
48,1967,513,0,85,78,37
14,1046,241,241,241,10,70
281,2523,770,140,770,69,12
143,2132,894,206,619,52,19
108,1794,414,276,1173,12,14
141,1732,623,138,415,37,30
62,1700,541,154,618,37,30
120,1929,551,68,482,78,37
180,1244,691,276,760,85,33
138,1804,902,138,763,89,22
189,1731,900,207,623,89,22
92,1533,584,219,584,37,30
96,1193,632,210,351,44,46
216,1653,801,100,300,81,31
95,1677,1048,209,559,89,22
286,1905,1020,68,612,89,22
162,1581,894,137,756,14,21
29,2615,871,290,799,69,12
111,1034,443,0,443,22,48
121,2314,878,159,478,52,19
277,1144,371,104,341,95,50
27,1230,443,147,393,22,48
216,793,504,0,721,97,41
