overspeed,accel,decel,stop,start,cluster,score
6,245,245,0,0,14,91
2,787,349,349,87,99,56
0,285,95,0,285,27,93
31,569,325,0,81,31,82
143,696,535,0,107,45,65
91,352,588,0,352,75,71
31,488,162,162,325,31,82
50,506,276,0,138,91,78
92,361,155,103,206,43,84
6,284,0,0,94,16,97
36,489,81,0,0,5,89
32,625,234,156,234,48,69
12,975,574,114,401,96,49
294,80,402,80,80,44,95
75,164,329,0,82,44,95
25,930,523,174,698,8,47
102,649,243,81,405,46,60
1244,46,218,0,46,20,59
786,195,174,65,108,18,76
380,288,252,36,108,53,79
52,403,80,0,0,37,92
8,1316,279,79,478,26,48
30,80,401,80,0,44,95
40,311,435,0,124,91,78
19,281,211,0,70,14,91
88,244,0,0,0,16,97
35,354,354,0,88,91,78
15,231,92,46,139,16,97
51,62,313,62,125,44,95
108,173,346,0,115,44,95
1,242,80,0,0,16,97
1,572,686,0,114,45,65
127,217,326,54,163,44,95
163,1246,650,54,108,74,36
161,136,68,34,102,97,94
38,71,143,71,71,47,99
179,367,0,0,0,84,86
178,391,322,23,69,91,78
10,1016,600,184,323,96,49
62,507,797,0,72,45,65
4,493,197,0,98,14,91
2,239,79,0,79,16,97
29,519,599,79,199,48,69
21,1104,441,44,265,99,56
78,866,358,59,239,60,70
202,780,260,97,195,90,57
927,156,93,15,15,71,81
1158,95,126,15,47,77,72
6,525,175,87,350,31,82
2,425,0,85,255,5,89
18,1497,641,213,499,0,35
29,446,223,0,0,31,82
186,1481,814,370,888,9,28
157,2451,632,395,474,94,12
86,1267,447,74,895,9,28
160,413,326,65,108,91,78
675,413,243,66,147,38,66
76,1494,498,124,498,0,35
241,2243,796,144,723,62,16
154,2055,948,158,553,62,16
190,2119,652,244,489,98,26
172,2014,1566,149,596,67,11
127,1995,591,147,812,82,13
501,1460,497,99,464,63,27
105,1540,440,0,366,0,35
127,2183,704,281,774,62,16
202,1493,522,74,448,0,35
137,1592,1137,227,455,59,19
570,1684,426,101,304,63,27
14,2572,257,171,1028,94,12
284,1109,380,158,523,15,38
139,2494,953,293,953,79,8
213,3067,807,161,322,42,21
130,1943,897,149,598,59,19
134,2065,535,153,841,82,13
121,1775,739,295,665,59,19
189,1125,600,300,750,15,38
126,1183,295,221,443,26,48
113,2415,701,311,701,94,12
146,1686,1320,0,440,59,19
91,2203,1022,236,865,79,8
221,782,506,92,414,73,54
188,995,205,63,205,17,68
296,1078,441,49,441,95,52
116,1990,368,73,884,39,22
89,1262,491,0,771,72,39
80,1684,878,73,1098,9,28
105,1742,871,316,475,59,19
124,2664,666,148,370,42,21
30,2182,969,161,565,62,16
123,1775,739,221,961,82,13
110,1873,1049,224,449,59,19
119,1182,886,295,591,3,32
99,619,381,0,571,8,47
13,802,534,89,178,45,65
613,827,388,103,310,52,46
118,2267,625,156,1172,11,9
