overspeed,accel,decel,stop,start,dsi,score
609.0,1157.0,204.0,34.0,136.0,2140.0,74.0
140.0,2045.0,273.0,45.0,818.0,3321.0,60.0
1273.0,169.0,85.0,0.0,85.0,1612.0,80.0
42.0,2170.0,368.0,123.0,983.0,3686.0,55.0
397.0,887.0,118.0,0.0,118.0,1520.0,82.0
100.0,2037.0,307.0,84.0,698.0,3226.0,61.0
116.0,1293.0,0.0,0.0,345.0,1754.0,79.0
66.0,1647.0,282.0,0.0,471.0,2466.0,70.0
177.0,1911.0,498.0,208.0,831.0,3625.0,56.0
46.0,2578.0,540.0,0.0,748.0,3912.0,52.0
145.0,2194.0,331.0,83.0,1035.0,3788.0,54.0
7.0,1976.0,169.0,0.0,649.0,2801.0,66.0
803.0,851.0,203.0,20.0,385.0,2262.0,73.0
251.0,2546.0,806.0,42.0,1103.0,4748.0,42.0
259.0,1543.0,386.0,86.0,643.0,2917.0,65.0
2232.0,108.0,39.0,3.0,26.0,2408.0,71.0
235.0,629.0,256.0,0.0,140.0,1260.0,85.0
10.0,870.0,309.0,0.0,168.0,1357.0,84.0
2.0,2014.0,604.0,0.0,134.0,2754.0,67.0
152.0,792.0,220.0,0.0,308.0,1472.0,82.0
120.0,48.0,12.0,0.0,0.0,180.0,98.0
2222.0,113.0,22.0,0.0,22.0,2379.0,71.0
221.0,2505.0,425.0,127.0,552.0,3830.0,53.0
150.0,2655.0,184.0,37.0,516.0,3542.0,57.0
392.0,1163.0,452.0,129.0,711.0,2847.0,65.0
220.0,1350.0,286.0,0.0,737.0,2593.0,68.0
403.0,2031.0,459.0,66.0,590.0,3549.0,57.0
891.0,940.0,201.0,34.0,336.0,2402.0,71.0
779.0,752.0,58.0,0.0,116.0,1705.0,79.0
214.0,3287.0,811.0,85.0,897.0,5294.0,36.0
105.0,1356.0,357.0,143.0,571.0,2532.0,69.0
57.0,599.0,54.0,0.0,82.0,792.0,90.0
2644.0,536.0,150.0,16.0,63.0,3409.0,59.0
131.0,755.0,121.0,60.0,332.0,1399.0,83.0
1436.0,275.0,48.0,0.0,0.0,1759.0,79.0
